Freq.	V(vout)
6.16595001861481e+00	(-1.36581991053102e+01dB,-2.67886884021109e+01°)
6.30957344480192e+00	(-1.36976272661800e+01dB,-2.73297245440705e+01°)
6.45654229034654e+00	(-1.37385331592742e+01dB,-2.78784261968541e+01°)
6.60693448007594e+00	(-1.37809575120358e+01dB,-2.84347178411338e+01°)
6.76082975391980e+00	(-1.38249410838773e+01dB,-2.89985129512568e+01°)
6.91830970918935e+00	(-1.38705245755767e+01dB,-2.95697137595982e+01°)
7.07945784384136e+00	(-1.39177485405371e+01dB,-3.01482110475547e+01°)
7.24435960074988e+00	(-1.39666532873143e+01dB,-3.07338839756893e+01°)
7.41310241300916e+00	(-1.40172787791027e+01dB,-3.13265999523114e+01°)
7.58577575029182e+00	(-1.40696645323602e+01dB,-3.19262145333041e+01°)
7.76247116628690e+00	(-1.41238495090882e+01dB,-3.25325713773086e+01°)
7.94328234724279e+00	(-1.41798720068579e+01dB,-3.31455022388549e+01°)
8.12830516164097e+00	(-1.42377695484620e+01dB,-3.37648270166739e+01°)
8.31763771102669e+00	(-1.42975787680655e+01dB,-3.43903538479740e+01°)
8.51138038202374e+00	(-1.43593352959637e+01dB,-3.50218792637902e+01°)
8.70963589956078e+00	(-1.44230736455691e+01dB,-3.56591883866510e+01°)
8.91250938133743e+00	(-1.44888270965178e+01dB,-3.63020552026209e+01°)
9.12010839355907e+00	(-1.45566275826584e+01dB,-3.69502428750741e+01°)
9.33254300796988e+00	(-1.46265055788943e+01dB,-3.76035041226627e+01°)
9.54992586021433e+00	(-1.46984899924486e+01dB,-3.82615816556219e+01°)
9.77237220955808e+00	(-1.47726080556155e+01dB,-3.89242086707751e+01°)
9.99999999999997e+00	(-1.48488852234271e+01dB,-3.95911094026967e+01°)
1.02329299228075e+01	(-1.49273450767063e+01dB,-4.02619997207281e+01°)
1.04712854805090e+01	(-1.50080092291597e+01dB,-4.09365877962674e+01°)
1.07151930523760e+01	(-1.50908972406084e+01dB,-4.16145748068004e+01°)
1.09647819614318e+01	(-1.51760265399421e+01dB,-4.22956556897819e+01°)
1.12201845430196e+01	(-1.52634123513602e+01dB,-4.29795199509194e+01°)
1.14815362149688e+01	(-1.53530676336037e+01dB,-4.36658524855189e+01°)
1.17489755493953e+01	(-1.54450030222181e+01dB,-4.43543344770367e+01°)
1.20226443461741e+01	(-1.55392267870266e+01dB,-4.50446442811155e+01°)
1.23026877081238e+01	(-1.56357447948671e+01dB,-4.57364583673254e+01°)
1.25892541179416e+01	(-1.57345604835430e+01dB,-4.64294522692785e+01°)
1.28824955169313e+01	(-1.58356748467941e+01dB,-4.71233015429912e+01°)
1.31825673855640e+01	(-1.59390864283105e+01dB,-4.78176827480404e+01°)
1.34896288259165e+01	(-1.60447913259144e+01dB,-4.85122744212958e+01°)
1.38038426460288e+01	(-1.61527832073918e+01dB,-4.92067580507255e+01°)
1.41253754462275e+01	(-1.62630533347843e+01dB,-4.99008190403312e+01°)
1.44543977074592e+01	(-1.63755905997908e+01dB,-5.05941476636414e+01°)
1.47910838816820e+01	(-1.64903815683994e+01dB,-5.12864399897500e+01°)
1.51356124843620e+01	(-1.66074105333365e+01dB,-5.19773987996854e+01°)
1.54881661891248e+01	(-1.67266595776334e+01dB,-5.26667344593544e+01°)
1.58489319246111e+01	(-1.68481086438622e+01dB,-5.33541657684512e+01°)
1.62181009735892e+01	(-1.69717356124572e+01dB,-5.40394207680596e+01°)
1.65958690743755e+01	(-1.70975163865210e+01dB,-5.47222375062765e+01°)
1.69824365246174e+01	(-1.72254249817296e+01dB,-5.54023647712561e+01°)
1.73780082874937e+01	(-1.73554336238331e+01dB,-5.60795627627216e+01°)
1.77827941003892e+01	(-1.74875128477280e+01dB,-5.67536037332976e+01°)
1.81970085860998e+01	(-1.76216316035819e+01dB,-5.74242725684377e+01°)
1.86208713666286e+01	(-1.77577573628697e+01dB,-5.80913673269505e+01°)
1.90546071796324e+01	(-1.78958562297985e+01dB,-5.87546997268554e+01°)
1.94984459975804e+01	(-1.80358930509613e+01dB,-5.94140955898729e+01°)
1.99526231496887e+01	(-1.81778315289503e+01dB,-6.00693952269993e+01°)
2.04173794466952e+01	(-1.83216343328477e+01dB,-6.07204537992088e+01°)
2.08929613085403e+01	(-1.84672632104701e+01dB,-6.13671416097149e+01°)
2.13796208950222e+01	(-1.86146790978239e+01dB,-6.20093443777299e+01°)
2.18776162394954e+01	(-1.87638422266309e+01dB,-6.26469634595296e+01°)
2.23872113856833e+01	(-1.89147122303625e+01dB,-6.32799160422556e+01°)
2.29086765276776e+01	(-1.90672482450526e+01dB,-6.39081353024637e+01°)
2.34422881531991e+01	(-1.92214090087546e+01dB,-6.45315705416502e+01°)
2.39883291901948e+01	(-1.93771529555772e+01dB,-6.51501872894583e+01°)
2.45470891568502e+01	(-1.95344383049013e+01dB,-6.57639674038154e+01°)
2.51188643150957e+01	(-1.96932231475716e+01dB,-6.63729091348998e+01°)
2.57039578276885e+01	(-1.98534655245592e+01dB,-6.69770271943071e+01°)
2.63026799189537e+01	(-2.00151235018488e+01dB,-6.75763528203210e+01°)
2.69153480392690e+01	(-2.01781552399548e+01dB,-6.81709338245492e+01°)
2.75422870333815e+01	(-2.03425190556925e+01dB,-6.87608346616717e+01°)
2.81838293126444e+01	(-2.05081734803851e+01dB,-6.93461364936700e+01°)
2.88403150312659e+01	(-2.06750773100115e+01dB,-6.99269372796211e+01°)
2.95120922666637e+01	(-2.08431896501402e+01dB,-7.05033518715241e+01°)
3.01995172040200e+01	(-2.10124699544246e+01dB,-7.10755121405398e+01°)
3.09029543251358e+01	(-2.11828780562290e+01dB,-7.16435671312130e+01°)
3.16227766016837e+01	(-2.13543741941876e+01dB,-7.22076832413377e+01°)
3.23593656929627e+01	(-2.15269190311134e+01dB,-7.27680444478712e+01°)
3.31131121482590e+01	(-2.17004736655504e+01dB,-7.33248525728492e+01°)
3.38844156139201e+01	(-2.18749996375352e+01dB,-7.38783275901671e+01°)
3.46736850452530e+01	(-2.20504589264643e+01dB,-7.44287079927440e+01°)
3.54813389233574e+01	(-2.22268139425242e+01dB,-7.49762512095535e+01°)
3.63078054770100e+01	(-2.24040275094377e+01dB,-7.55212340952225e+01°)
3.71535229097171e+01	(-2.25820628416657e+01dB,-7.60639534697947e+01°)
3.80189396320559e+01	(-2.27608835113126e+01dB,-7.66047267463650e+01°)
3.89045144994279e+01	(-2.29404534081395e+01dB,-7.71438926286064e+01°)
3.98107170553495e+01	(-2.31207366901327e+01dB,-7.76818118900722e+01°)
4.07380277804111e+01	(-2.33016977246158e+01dB,-7.82188682422722e+01°)
4.16869383470333e+01	(-2.34833010190213e+01dB,-7.87554693002063e+01°)
4.26579518801591e+01	(-2.36655111410652e+01dB,-7.92920476358440e+01°)
4.36515832240164e+01	(-2.38482926266061e+01dB,-7.98290619470412e+01°)
4.46683592150961e+01	(-2.40316098742132e+01dB,-8.03669983318930e+01°)
4.57088189614873e+01	(-2.42154270260054e+01dB,-8.09063716729791e+01°)
4.67735141287196e+01	(-2.43997078316206e+01dB,-8.14477271571085e+01°)
4.78630092322636e+01	(-2.45844154954041e+01dB,-8.19916419005386e+01°)
4.89778819368444e+01	(-2.47695125031202e+01dB,-8.25387267256652e+01°)
5.01187233627270e+01	(-2.49549604269591e+01dB,-8.30896280652515e+01°)
5.12861383991362e+01	(-2.51407197058836e+01dB,-8.36450300073056e+01°)
5.24807460249770e+01	(-2.53267493980600e+01dB,-8.42056564891368e+01°)
5.37031796370250e+01	(-2.55130069021386e+01dB,-8.47722736371350e+01°)
5.49540873857622e+01	(-2.56994476434137e+01dB,-8.53456922587413e+01°)
5.62341325190346e+01	(-2.58860247202595e+01dB,-8.59267704859764e+01°)
5.75439937337154e+01	(-2.60726885063160e+01dB,-8.65164165619575e+01°)
5.88843655355586e+01	(-2.62593862017576e+01dB,-8.71155917812199e+01°)
6.02559586074355e+01	(-2.64460613283604e+01dB,-8.77253135612153e+01°)
6.16595001861479e+01	(-2.66326531602858e+01dB,-8.83466586428733e+01°)
6.30957344480190e+01	(-2.68190960833042e+01dB,-8.89807663990281e+01°)
6.45654229034652e+01	(-2.70053188730546e+01dB,-8.96288422271404e+01°)
6.60693448007593e+01	(-2.71912438826952e+01dB,-9.02921610013387e+01°)
6.76082975391978e+01	(-2.73767861292228e+01dB,-9.09720705374120e+01°)
6.91830970918933e+01	(-2.75618522663951e+01dB,-9.16699950176832e+01°)
7.07945784384134e+01	(-2.77463394320272e+01dB,-9.23874383136624e+01°)
7.24435960074986e+01	(-2.79301339552825e+01dB,-9.31259871236061e+01°)
7.41310241300914e+01	(-2.81131099103628e+01dB,-9.38873138118810e+01°)
7.58577575029180e+01	(-2.82951275010962e+01dB,-9.46731788345566e+01°)
7.76247116628688e+01	(-2.84760312620190e+01dB,-9.54854325814914e+01°)
7.94328234724277e+01	(-2.86556480607695e+01dB,-9.63260164533638e+01°)
8.12830516164095e+01	(-2.88337848885677e+01dB,-9.71969629435504e+01°)
8.31763771102667e+01	(-2.90102264276120e+01dB,-9.81003944419835e+01°)
8.51138038202372e+01	(-2.91847323869159e+01dB,-9.90385204507838e+01°)
8.70963589956076e+01	(-2.93570346039435e+01dB,-1.00013632827156e+02°)
8.91250938133741e+01	(-2.95268339162576e+01dB,-1.01028098619609e+02°)
9.12010839355905e+01	(-2.96937968178676e+01dB,-1.02084349995142e+02°)
9.33254300796986e+01	(-2.98575519268606e+01dB,-1.03184870712900e+02°)
9.54992586021431e+01	(-3.00176863098926e+01dB,-1.04332178514703e+02°)
9.77237220955805e+01	(-3.01737417284525e+01dB,-1.05528802796813e+02°)
9.99999999999995e+01	(-3.03252109005704e+01dB,-1.06777256860959e+02°)
1.02329299228075e+02	(-3.04715339008176e+01dB,-1.08080004096023e+02°)
1.04712854805089e+02	(-3.06120948606355e+01dB,-1.09439417449334e+02°)
1.07151930523760e+02	(-3.07462191703940e+01dB,-1.10857731692232e+02°)
1.09647819614318e+02	(-3.08731714291922e+01dB,-1.12336988166217e+02°)
1.12201845430196e+02	(-3.09921544325728e+01dB,-1.13878971984275e+02°)
1.14815362149688e+02	(-3.11023095280514e+01dB,-1.15485142079531e+02°)
1.17489755493952e+02	(-3.12027186986500e+01dB,-1.17156555027184e+02°)
1.20226443461741e+02	(-3.12924087472907e+01dB,-1.18893784239051e+02°)
1.23026877081237e+02	(-3.13703579431224e+01dB,-1.20696836902142e+02°)
1.25892541179416e+02	(-3.14355054409338e+01dB,-1.22565071914285e+02°)
1.28824955169313e+02	(-3.14867636945126e+01dB,-1.24497122924186e+02°)
1.31825673855640e+02	(-3.15230339410948e+01dB,-1.26490831388234e+02°)
1.34896288259165e+02	(-3.15432246406947e+01dB,-1.28543195132516e+02°)
1.38038426460288e+02	(-3.15462725145165e+01dB,-1.30650338138887e+02°)
1.41253754462275e+02	(-3.15311655575222e+01dB,-1.32807507008136e+02°)
1.44543977074592e+02	(-3.14969671245343e+01dB,-1.35009098697395e+02°)
1.47910838816820e+02	(-3.14428399456023e+01dB,-1.37248722600748e+02°)
1.51356124843620e+02	(-3.13680687479118e+01dB,-1.39519297927394e+02°)
1.54881661891247e+02	(-3.12720800902642e+01dB,-1.41813184754182e+02°)
1.58489319246110e+02	(-3.11544580778750e+01dB,-1.44122344359891e+02°)
1.62181009735892e+02	(-3.10149548287668e+01dB,-1.46438521842561e+02°)
1.65958690743755e+02	(-3.08534949009369e+01dB,-1.48753441906545e+02°)
1.69824365246173e+02	(-3.06701733225469e+01dB,-1.51059007432221e+02°)
1.73780082874936e+02	(-3.04652473471532e+01dB,-1.53347490177581e+02°)
1.77827941003891e+02	(-3.02391225184570e+01dB,-1.55611703773632e+02°)
1.81970085860997e+02	(-2.99923340193981e+01dB,-1.57845150915473e+02°)
1.86208713666286e+02	(-2.97255245512624e+01dB,-1.60042139073254e+02°)
1.90546071796323e+02	(-2.94394201200172e+01dB,-1.62197861790344e+02°)
1.94984459975803e+02	(-2.91348050964180e+01dB,-1.64308445352560e+02°)
1.99526231496887e+02	(-2.88124977873679e+01dB,-1.66370962986890e+02°)
2.04173794466952e+02	(-2.84733275372694e+01dB,-1.68383420587089e+02°)
2.08929613085403e+02	(-2.81181141146978e+01dB,-1.70344719150069e+02°)
2.13796208950222e+02	(-2.77476498624195e+01dB,-1.72254599670263e+02°)
2.18776162394954e+02	(-2.73626848331228e+01dB,-1.74113576242851e+02°)
2.23872113856832e+02	(-2.69639149152259e+01dB,-1.75922862718453e+02°)
2.29086765276776e+02	(-2.65519727859014e+01dB,-1.77684297565764e+02°)
2.34422881531991e+02	(-2.61274214123811e+01dB,-1.79400270775735e+02°)
2.39883291901947e+02	(-2.56907497544060e+01dB,1.78926344207807e+02°)
2.45470891568501e+02	(-2.52423702923465e+01dB,1.77292251339533e+02°)
2.51188643150956e+02	(-2.47826180079660e+01dB,1.75693784100582e+02°)
2.57039578276885e+02	(-2.43117504690788e+01dB,1.74126947948632e+02°)
2.63026799189536e+02	(-2.38299487072854e+01dB,1.72587452545662e+02°)
2.69153480392690e+02	(-2.33373186237480e+01dB,1.71070733492641e+02°)
2.75422870333815e+02	(-2.28338927067063e+01dB,1.69571963450106e+02°)
2.81838293126443e+02	(-2.23196318934404e+01dB,1.68086052564851e+02°)
2.88403150312659e+02	(-2.17944274572778e+01dB,1.66607638070075e+02°)
2.95120922666637e+02	(-2.12581028471244e+01dB,1.65131062792625e+02°)
3.01995172040200e+02	(-2.07104154537889e+01dB,1.63650342094672e+02°)
3.09029543251357e+02	(-2.01510583263680e+01dB,1.62159118504294e+02°)
3.16227766016836e+02	(-1.95796619163774e+01dB,1.60650602950952e+02°)
3.23593656929626e+02	(-1.89957959918963e+01dB,1.59117501117575e+02°)
3.31131121482589e+02	(-1.83989719450619e+01dB,1.57551922946967e+02°)
3.38844156139200e+02	(-1.77886458224683e+01dB,1.55945272795289e+02°)
3.46736850452529e+02	(-1.71642225516777e+01dB,1.54288117111617e+02°)
3.54813389233573e+02	(-1.65250620342403e+01dB,1.52570025854426e+02°)
3.63078054770099e+02	(-1.58704880500069e+01dB,1.50779383172109e+02°)
3.71535229097170e+02	(-1.51998012998134e+01dB,1.48903162258508e+02°)
3.80189396320558e+02	(-1.45122984475244e+01dB,1.46926658912041e+02°)
3.89045144994278e+02	(-1.38072997639040e+01dB,1.44833178486769e+02°)
3.98107170553494e+02	(-1.30841889962403e+01dB,1.42603672181628e+02°)
4.07380277804110e+02	(-1.23424704722851e+01dB,1.40216321939450e+02°)
4.16869383470332e+02	(-1.15818502749700e+01dB,1.37646080266663e+02°)
4.26579518801589e+02	(-1.08023506301387e+01dB,1.34864184750924e+02°)
4.36515832240163e+02	(-1.00044693249623e+01dB,1.31837691242592e+02°)
4.46683592150960e+02	(-9.18939856433493e+00dB,1.28529110981466e+02°)
4.57088189614872e+02	(-8.35931898095776e+00dB,1.24896303999708e+02°)
4.67735141287195e+02	(-7.51778193043899e+00dB,1.20892883161490e+02°)
4.78630092322635e+02	(-6.67018172873688e+00dB,1.16469524123806e+02°)
4.89778819368442e+02	(-5.82429086867657e+00dB,1.11576739501438e+02°)
5.01187233627268e+02	(-4.99077470440859e+00dB,1.06169792161005e+02°)
5.12861383991361e+02	(-4.18351035882477e+00dB,1.00216328266925e+02°)
5.24807460249769e+02	(-3.41942093633591e+00dB,9.37067219514456e+01°)
5.37031796370249e+02	(-2.71746289876806e+00dB,8.66657439078502e+01°)
5.49540873857620e+02	(-2.09649953880393e+00dB,7.91620740767802e+01°)
5.62341325190345e+02	(-1.57218878557401e+00dB,7.13104250589157e+01°)
5.75439937337152e+02	(-1.15365755590249e+00dB,6.32616920260225e+01°)
5.88843655355584e+02	(-8.41225069786608e-01dB,5.51810140913364e+01°)
6.02559586074353e+02	(-6.26234486866204e-01dB,4.72200691495740e+01°)
6.16595001861477e+02	(-4.93096596982139e-01dB,3.94934401905053e+01°)
6.30957344480188e+02	(-4.22617584430174e-01dB,3.20663437879046e+01°)
6.45654229034650e+02	(-3.95332639736712e-01dB,2.49547127803284e+01°)
6.60693448007591e+02	(-3.93972970360222e-01dB,1.81335856319137e+01°)
6.76082975391976e+02	(-4.04851517351169e-01dB,1.15485174710709e+01°)
6.91830970918931e+02	(-4.18404702851106e-01dB,5.12628054863133e+00°)
7.07945784384132e+02	(-4.29265926880829e-01dB,-1.21665356131041e+00°)
7.24435960074984e+02	(-4.36184201645078e-01dB,-7.56771432880845e+00°)
7.41310241300911e+02	(-4.41968325094448e-01dB,-1.40129290287545e+01°)
7.58577575029177e+02	(-4.53498071255536e-01dB,-2.06314449628980e+01°)
7.76247116628685e+02	(-4.81710157881182e-01dB,-2.74886991962895e+01°)
7.94328234724275e+02	(-5.41335938773740e-01dB,-3.46275563539352e+01°)
8.12830516164092e+02	(-6.50065041276702e-01dB,-4.20578346041550e+01°)
8.31763771102664e+02	(-8.26816951995958e-01dB,-4.97464275535439e+01°)
8.51138038202369e+02	(-1.08904239477948e+00dB,-5.76121707887680e+01°)
8.70963589956073e+02	(-1.44948827638055e+00dB,-6.55301811664502e+01°)
8.91250938133738e+02	(-1.91342046150979e+00dB,-7.33478740652867e+01°)
9.12010839355902e+02	(-2.47743288698574e+00dB,-8.09094453432662e+01°)
9.33254300796983e+02	(-3.13037796471309e+00dB,-8.80807342603190e+01°)
9.54992586021428e+02	(-3.85596075834318e+00dB,-9.47661250243950e+01°)
9.77237220955802e+02	(-4.63588312160218e+00dB,-1.00913734474483e+02°)
9.99999999999991e+02	(-5.45249382597447e+00dB,-1.06510703802656e+02°)
1.02329299228075e+03	(-6.29044098605405e+00dB,-1.11573289318648e+02°)
1.04712854805089e+03	(-7.13735204960075e+00dB,-1.16136138167684e+02°)
1.07151930523760e+03	(-7.98383219575959e+00dB,-1.20243311909393e+02°)
1.09647819614318e+03	(-8.82309960762186e+00dB,-1.23941886742488e+02°)
1.12201845430195e+03	(-9.65049188398231e+00dB,-1.27277937076075e+02°)
1.14815362149687e+03	(-1.04629784485192e+01dB,-1.30294326516833e+02°)
1.17489755493952e+03	(-1.12587396712552e+01dB,-1.33029711598160e+02°)
1.20226443461740e+03	(-1.20368295747219e+01dB,-1.35518286136705e+02°)
1.23026877081237e+03	(-1.27969175461786e+01dB,-1.37789938053936e+02°)
1.25892541179416e+03	(-1.35390963275992e+01dB,-1.39870609365970e+02°)
1.28824955169312e+03	(-1.42637421526583e+01dB,-1.41782734587148e+02°)
1.31825673855640e+03	(-1.49714143771102e+01dB,-1.43545687974305e+02°)
1.34896288259164e+03	(-1.56627843125311e+01dB,-1.45176203987906e+02°)
1.38038426460287e+03	(-1.63385853223811e+01dB,-1.46688755241993e+02°)
1.41253754462274e+03	(-1.69995782390548e+01dB,-1.48095883314137e+02°)
1.44543977074591e+03	(-1.76465277406423e+01dB,-1.49408483600467e+02°)
1.47910838816819e+03	(-1.82801865238277e+01dB,-1.50636048149446e+02°)
1.51356124843619e+03	(-1.89012849950968e+01dB,-1.51786871444222e+02°)
1.54881661891247e+03	(-1.95105248477299e+01dB,-1.52868224227934e+02°)
1.58489319246110e+03	(-2.01085753579248e+01dB,-1.53886500141202e+02°)
1.62181009735891e+03	(-2.06960715679600e+01dB,-1.54847339424822e+02°)
1.65958690743754e+03	(-2.12736137638814e+01dB,-1.55755733372971e+02°)
1.69824365246173e+03	(-2.18417678265365e+01dB,-1.56616112673859e+02°)
1.73780082874936e+03	(-2.24010661572688e+01dB,-1.57432422278161e+02°)
1.77827941003891e+03	(-2.29520089671691e+01dB,-1.58208185002013e+02°)
1.81970085860997e+03	(-2.34950657814297e+01dB,-1.58946555701313e+02°)
1.86208713666285e+03	(-2.40306770551550e+01dB,-1.59650367542697e+02°)
1.90546071796323e+03	(-2.45592558290409e+01dB,-1.60322171636932e+02°)
1.94984459975803e+03	(-2.50811893762335e+01dB,-1.60964271085240e+02°)
1.99526231496886e+03	(-2.55968408080193e+01dB,-1.61578750311211e+02°)
2.04173794466951e+03	(-2.61065506176159e+01dB,-1.62167500404313e+02°)
2.08929613085402e+03	(-2.66106381495513e+01dB,-1.62732241080057e+02°)
2.13796208950221e+03	(-2.71094029879034e+01dB,-1.63274539762203e+02°)
2.18776162394953e+03	(-2.76031262606810e+01dB,-1.63795828210092e+02°)
2.23872113856832e+03	(-2.80920718603863e+01dB,-1.64297417046164e+02°)
2.29086765276775e+03	(-2.85764875826367e+01dB,-1.64780508482422e+02°)
2.34422881531990e+03	(-2.90566061859189e+01dB,-1.65246207497872e+02°)
2.39883291901947e+03	(-2.95326463762774e+01dB,-1.65695531680119e+02°)
2.45470891568501e+03	(-3.00048137211409e+01dB,-1.66129419911908e+02°)
2.51188643150955e+03	(-3.04733014966642e+01dB,-1.66548740056385e+02°)
2.57039578276884e+03	(-3.09382914729771e+01dB,-1.66954295772140e+02°)
2.63026799189535e+03	(-3.13999546416415e+01dB,-1.67346832570119e+02°)
2.69153480392689e+03	(-3.18584518894571e+01dB,-1.67727043208448e+02°)
2.75422870333814e+03	(-3.23139346225499e+01dB,-1.68095572507695e+02°)
2.81838293126442e+03	(-3.27665453444537e+01dB,-1.68453021657681e+02°)
2.88403150312658e+03	(-3.32164181916507e+01dB,-1.68799952077222e+02°)
2.95120922666635e+03	(-3.36636794298002e+01dB,-1.69136888879945e+02°)
3.01995172040198e+03	(-3.41084479136472e+01dB,-1.69464323992303e+02°)
3.09029543251356e+03	(-3.45508355133718e+01dB,-1.69782718963884e+02°)
